Hieroglyph	Gardiner's gloss	Proposed concept(s)/NA	Plausible administrative records concept
𓍨	UNGLOSSED	700	Yes
𓍩	UNGLOSSED	800	Yes
𓍪	UNGLOSSED	900	Yes
𓍫	UNGLOSSED	500	Yes
𓍬	UNGLOSSED		No
𓍭	UNGLOSSED		No
𓍮	UNGLOSSED		No
𓍯	lasso	lasso, cord	Yes
𓍰	UNGLOSSED		No
𓍱	rope-(shape)	rope	Yes
𓍲	rope-(shape)		No
𓍳	UNGLOSSED		No
𓍴	UNGLOSSED		No
𓍵	UNGLOSSED		No
𓍶	shen ring		No
𓍷	cartouche	cartouche	Yes
𓍸	cartouche-(divided)		No
𓍹	UNGLOSSED		No
𓍺	UNGLOSSED		No
𓍻	UNGLOSSED		No
𓍼	UNGLOSSED		No
𓍽	UNGLOSSED		No
𓍾	UNGLOSSED		No
𓍿	tethering rope	tethering rope, tether	Yes
𓎀	UNGLOSSED		No
𓎁	tethering rope w/ walking legs		No
𓎂	cattle hobble (bil.)	hobble	Yes
𓎃	lifesaver	lifesaver	Yes
𓎄	UNGLOSSED		No
𓎅	UNGLOSSED		No
𓎆	cattle hobble	10	Yes
𓎇	UNGLOSSED	20	Yes
𓎈	UNGLOSSED	30	Yes
𓎉	UNGLOSSED	40	Yes
𓎊	UNGLOSSED	50	Yes
𓎋	UNGLOSSED	60	Yes
𓎌	UNGLOSSED	70	Yes
𓎍	UNGLOSSED	80	Yes
𓎎	UNGLOSSED	90	Yes
𓎏	UNGLOSSED	20	Yes
𓎐	UNGLOSSED	30	Yes
𓎑	UNGLOSSED	40	Yes
𓎒	UNGLOSSED	50	Yes
𓎓	Fetter + Cobra		No
𓎔	whip	whip	Yes
𓎕	UNGLOSSED		No
𓎖	UNGLOSSED		No
𓎗	UNGLOSSED		No
𓎘	command staff	staff, command	Yes
𓎙	UNGLOSSED		No
𓎚	UNGLOSSED		No
𓎛	a twisted wick	wick	Yes
𓎜	UNGLOSSED		No
𓎝	(fiber) swab (straw broom)	swab, broom	Yes
𓎞	UNGLOSSED		No
𓎟	basket (hieroglyph)	basket	Yes
𓎠	UNGLOSSED		No
𓎡	basket- with-handle (hieroglyph)		No
𓎢	UNGLOSSED		No
𓎣	UNGLOSSED		No
𓎤	UNGLOSSED		No
𓎥	UNGLOSSED		No
𓎦	UNGLOSSED		No
𓎧	UNGLOSSED		No
𓎨	doubled container (or-added-glyphs) many spellings	container	Yes
𓎩	UNGLOSSED		No
𓎪	UNGLOSSED	ladle	Yes
𓎫	UNGLOSSED		No
𓎬	?stylized ankh (for Isis)(?)		No
𓎭	UNGLOSSED		No
𓎮	UNGLOSSED		No
𓎯	Oil jar	jar, oil	Yes
𓎰	Oil-jar without ties		No
𓎱	alabaster basin	basin	Yes
𓎲	alabaster basin		No
𓎳	festival chamber, (the tail is also vertical 'Great': <b>ꜥꜣ</b>)		No
𓎴	UNGLOSSED		No
𓎵	Metal vessel	vessel	Yes
𓎶	Granite Bowl	bowl	Yes
𓎷	Granite Bowl		No
𓎸	stone jug	jug	Yes
𓎹	UNGLOSSED		No
𓎺	cup	cup	Yes
𓎻	Pot	pot	Yes
𓎼	Jar stand	jar stand	Yes
𓎽	Jar stand		No
𓎾	pot		No
𓎿	water jar	water jar	Yes
𓏀	water jar with water		No
𓏁	water jar with rack		No
𓏂	water jar with rack		No
𓏃	water jar with rack		No
𓏄	UNGLOSSED		No
𓏅	water jar with rack		No
𓏆	UNGLOSSED		No
𓏇	Milk jug with handle	milk jug, milk	Yes
𓏈	Milk jug with cover		No
𓏉	Wine jars	wine jar, wine	Yes
𓏊	Beer jug	beer jug, beer	Yes
𓏋	Beer jug		No
𓏌	Pot	pot	Yes
𓏍	three pots		No
𓏎	Pot with legs		No
𓏏	loaf of bread	loaf, bread	Yes
𓏐	UNGLOSSED		No
𓏑	UNGLOSSED		No
𓏒	UNGLOSSED		No
𓏓	UNGLOSSED		No
𓏔	UNGLOSSED		No
𓏕	UNGLOSSED		No
𓏖	loaf-with-decoration		No
𓏗	UNGLOSSED		No
𓏘	UNGLOSSED		No
𓏙	cone- shaped bread	cone	Yes
𓏚	UNGLOSSED		No
𓏛	papyrus roll	papyrus, text, roll	Yes
𓏜	UNGLOSSED		No
𓏝	UNGLOSSED		No
𓏞	Scribe's equipment	writing equipment, pen, ink, stylus	Yes
𓏟	Scribe's equipment		No
𓏠	Senet board	game board, game, play	Yes
𓏡	game piece	game piece	Yes
𓏢	harp	harp	Yes
𓏣	Sistrum	sistrum	Yes
𓏤	Single stroke		No
𓏥	Plural stroke (horizontal)		No
𓏦	UNGLOSSED		No
𓏧	UNGLOSSED		No
𓏨	UNGLOSSED		No
𓏩	UNGLOSSED		No
𓏪	plural strokes (vertical)		No
𓏫	UNGLOSSED		No
𓏬	UNGLOSSED		No
𓏭	Dual stroke		No
𓏮	UNGLOSSED		No
𓏯	Diagonal stroke (from hieratic)		No
𓏰	UNGLOSSED		No
𓏱	Substitute for various human figures		No
𓏲	coil (hieratic equivalent)	coil	Yes
𓏳	Oval	oval	No
𓏴	Crossed diagonal sticks	diagonal, stick	No
𓏵	Crossed diagonal sticks		No
𓏶	two planks crossed and joined	plank	Yes
𓏷	UNGLOSSED		No
𓏸	UNGLOSSED		No
𓏹	UNGLOSSED		No
𓏺	UNGLOSSED	1	Yes
𓏻	UNGLOSSED	2	Yes
𓏼	UNGLOSSED	3	Yes
𓏽	UNGLOSSED	4	Yes
𓏾	UNGLOSSED	5	Yes
𓏿	UNGLOSSED	6	Yes
𓐀	UNGLOSSED	7	Yes
𓐁	UNGLOSSED	8	Yes
𓐂	UNGLOSSED	9	Yes
𓐃	UNGLOSSED	5	Yes
𓐄	UNGLOSSED		No
𓐅	UNGLOSSED		No
𓐆	UNGLOSSED		No
𓐇	UNGLOSSED		No
𓐈	UNGLOSSED		No
𓐉	UNGLOSSED		No
𓐊	UNGLOSSED		No
𓐋	UNGLOSSED		No
𓐌	UNGLOSSED		No
𓐍	Placenta or sieve	placenta, sieve	No
𓐎	Pustule	pustule	No
𓐏	Pustule with liquid issuing from it	infect	No
𓐐	UNGLOSSED		No
𓐑	Part of steering gear of a ship	steer	No
𓐒	UNGLOSSED		No
𓐓	A Smiting-Blade	smite	No
𓐔	UNGLOSSED		No
𓐕	UNGLOSSED		No
𓐖	Irrigation tunnels	irrigate	No
𓐗	UNGLOSSED		No
𓐘	UNGLOSSED		No
𓐙	UNGLOSSED		No
𓐚	UNGLOSSED		No
𓐛	UNGLOSSED		No
𓐜	UNGLOSSED		No
𓐝	UNGLOSSED		No
𓐞	UNGLOSSED		No
𓐟	UNGLOSSED		No
𓐠	UNGLOSSED		No
𓐡	UNGLOSSED		No
𓐢	UNGLOSSED		No
𓐣	UNGLOSSED		No
𓐤	UNGLOSSED		No
𓐥	UNGLOSSED		No
𓐦	UNGLOSSED		No
𓐧	UNGLOSSED		No
𓐨	UNGLOSSED		No
𓐩	UNGLOSSED		No
𓐪	UNGLOSSED		No
𓐫	UNGLOSSED		No
𓐬	UNGLOSSED		No
𓐭	UNGLOSSED		No
𓐮	UNGLOSSED		No
